step,train_loss,val_loss
0,11.1018,11.1027
1000,3.8112,3.8016
2000,3.4156,3.4276
3000,3.2050,3.2256
4000,3.0952,3.1111
5000,3.0519,3.0537
6000,2.9884,3.0094
7000,2.9690,2.9820
8000,2.9409,2.9601
9000,2.9348,2.9268
10000,2.8987,2.9171
11000,2.8890,2.9208
12000,2.8804,2.8966
13000,2.8549,2.8878
14000,2.8566,2.8777
15000,2.8631,2.8618
16000,2.8410,2.8618
17000,2.8244,2.8541
18000,2.8396,2.8518
19000,2.8224,2.8451
20000,2.7959,2.8294
21000,2.8173,2.8247
22000,2.8037,2.8141
23000,2.7877,2.8077
24000,2.7829,2.8100
25000,2.7752,2.7951
26000,2.7688,2.7907
27000,2.7857,2.7813
28000,2.7574,2.7838
29000,2.7419,2.7728
30000,2.7585,2.7704
31000,2.7544,2.7753
32000,2.7268,2.7499
33000,2.7260,2.7662
34000,2.7196,2.7504
35000,2.7138,2.7443
36000,2.7065,2.7431
37000,2.7042,2.7251
38000,2.6937,2.7324
39000,2.6920,2.7197
40000,2.6820,2.7028
41000,2.6685,2.6990
42000,2.6621,2.6996
43000,2.6563,2.6971
44000,2.6610,2.6706
45000,2.6234,2.6677
46000,2.6455,2.6760
47000,2.6276,2.6606
48000,2.6257,2.6525
49000,2.6078,2.6537
50000,2.6075,2.6379
51000,2.5940,2.6185
52000,2.5649,2.6204
53000,2.5894,2.6123
54000,2.5550,2.6131
55000,2.5519,2.5930
56000,2.5510,2.5792
57000,2.5192,2.5808
58000,2.5125,2.5640
59000,2.5213,2.5678
60000,2.5075,2.5504
