step,train_loss,val_loss
0,11.1018,11.1027
1000,4.5692,4.5734
2000,3.6891,3.7031
3000,3.3595,3.3812
4000,3.2118,3.2282
5000,3.1447,3.1450
6000,3.0640,3.0858
7000,3.0235,3.0359
8000,2.9834,3.0006
9000,2.9667,2.9605
10000,2.9144,2.9358
11000,2.8961,2.9323
12000,2.8827,2.9023
13000,2.8515,2.8876
14000,2.8450,2.8701
15000,2.8441,2.8492
16000,2.8197,2.8426
17000,2.7965,2.8319
18000,2.8106,2.8294
19000,2.7872,2.8190
20000,2.7598,2.8005
21000,2.7767,2.7944
22000,2.7624,2.7815
23000,2.7457,2.7737
24000,2.7419,2.7765
25000,2.7324,2.7616
26000,2.7299,2.7607
27000,2.7740,2.7789
28000,2.7266,2.7647
29000,2.6989,2.7403
30000,2.7154,2.7363
31000,2.6964,2.7281
32000,2.6852,2.7173
33000,2.6797,2.7321
34000,2.7622,2.7976
35000,2.6824,2.7227
36000,2.6706,2.7183
37000,2.6625,2.6971
38000,2.6526,2.7048
39000,2.6526,2.6924
40000,2.6422,2.6775
41000,2.6304,2.6746
42000,2.6267,2.6779
43000,2.6223,2.6766
44000,2.6300,2.6522
45000,2.5945,2.6522
46000,2.6174,2.6654
47000,2.6067,2.6513
48000,2.6101,2.6472
49000,2.6008,2.6552
50000,2.6029,2.6453
51000,2.5968,2.6302
52000,2.5728,2.6386
53000,2.6039,2.6378
54000,2.5786,2.6441
55000,2.5825,2.6328
56000,2.5902,2.6257
57000,2.5667,2.6341
58000,2.5699,2.6243
59000,2.5849,2.6354
60000,2.5748,2.6247
