step,train_loss,val_loss
0,11.1018,11.1028
1000,4.5507,4.5529
2000,3.6454,3.6575
3000,3.3673,3.3885
4000,3.2198,3.2343
5000,3.1439,3.1484
6000,3.0665,3.0890
7000,3.0255,3.0378
8000,2.9825,3.0028
9000,2.9658,2.9602
10000,2.9163,2.9369
11000,2.8968,2.9340
12000,2.8828,2.9018
13000,2.8504,2.8867
14000,2.8448,2.8708
15000,3.7456,3.7567
16000,2.8691,2.8921
17000,2.8993,2.9291
18000,2.9163,2.9272
19000,2.9130,2.9336
20000,2.8425,2.8761
21000,2.8953,2.9033
22000,2.9128,2.9209
23000,3.0074,3.0242
24000,4.6915,4.7005
25000,7.1878,7.1973
