step,train_loss,val_loss
0,11.1003,11.1012
1000,3.8345,3.8241
2000,3.4127,3.4249
3000,3.2055,3.2264
4000,3.0940,3.1118
5000,3.0446,3.0514
6000,2.9877,3.0074
7000,2.9591,2.9737
8000,2.9294,2.9498
9000,2.9249,2.9169
10000,2.8790,2.9001
11000,2.8759,2.9100
12000,2.8672,2.8838
13000,2.8419,2.8751
14000,2.8394,2.8610
15000,2.8446,2.8439
16000,2.8227,2.8452
17000,2.8055,2.8350
18000,2.8194,2.8346
19000,2.8014,2.8248
20000,2.7728,2.8100
21000,2.7936,2.8038
22000,2.7789,2.7929
23000,2.7611,2.7841
24000,2.7572,2.7862
25000,2.7467,2.7689
26000,2.7408,2.7641
27000,2.7537,2.7530
28000,2.7224,2.7541
29000,2.7060,2.7418
30000,2.7217,2.7368
31000,2.7017,2.7283
32000,2.6873,2.7120
33000,2.6827,2.7264
34000,2.6759,2.7067
35000,2.6650,2.7005
36000,2.6549,2.6986
37000,2.6510,2.6781
38000,2.6368,2.6837
39000,2.6325,2.6684
40000,2.6211,2.6497
41000,2.6041,2.6438
42000,2.5975,2.6426
43000,2.5876,2.6375
44000,2.5919,2.6107
45000,2.5533,2.6067
46000,2.5725,2.6141
47000,2.5553,2.5974
48000,2.5530,2.5893
49000,2.5387,2.5922
50000,2.5372,2.5792
51000,2.5269,2.5618
52000,2.5010,2.5658
53000,2.5278,2.5614
54000,2.5019,2.5667
55000,2.5034,2.5516
56000,2.5079,2.5427
57000,2.4858,2.5523
58000,2.4879,2.5420
59000,2.5026,2.5537
60000,2.4921,2.5405
