step,train_loss,val_loss
0,11.1003,11.1012
1000,3.7889,3.7811
2000,3.3836,3.3956
3000,3.2010,3.2215
4000,3.1061,3.1215
5000,3.0674,3.0686
6000,3.0120,3.0332
7000,2.9953,3.0049
8000,2.9676,2.9858
9000,2.9669,2.9586
10000,2.9300,2.9480
11000,2.9243,2.9543
12000,2.9186,2.9307
13000,2.8923,2.9223
14000,2.8939,2.9129
15000,2.8985,2.8961
16000,2.8800,2.8957
17000,2.8651,2.8904
18000,2.8782,2.8879
19000,2.8600,2.8793
20000,2.8336,2.8634
21000,2.8530,2.8570
22000,2.8381,2.8456
23000,2.8207,2.8385
24000,2.8153,2.8388
25000,2.8049,2.8219
26000,2.7963,2.8149
27000,2.8118,2.8039
28000,2.7819,2.8055
29000,2.7642,2.7915
30000,2.7805,2.7874
31000,2.7576,2.7760
32000,2.7414,2.7609
33000,2.7368,2.7740
34000,2.7274,2.7558
35000,2.7154,2.7475
36000,2.7072,2.7419
37000,2.7017,2.7217
38000,2.6881,2.7255
39000,2.6821,2.7084
40000,2.6685,2.6883
41000,2.6518,2.6811
42000,2.6394,2.6785
43000,2.6300,2.6720
44000,2.6315,2.6432
45000,2.5896,2.6368
46000,2.6084,2.6412
47000,2.5881,2.6241
48000,2.5839,2.6137
49000,2.5643,2.6126
50000,2.5630,2.5962
51000,2.5488,2.5782
52000,2.5213,2.5806
53000,2.5471,2.5741
54000,2.5173,2.5778
55000,2.5182,2.5615
56000,2.5219,2.5522
57000,2.4977,2.5591
58000,2.4990,2.5494
59000,2.5141,2.5601
60000,2.5053,2.5469
