step,train_loss,val_loss
0,11.1003,11.1012
1000,4.5937,4.5957
2000,3.6547,3.6653
3000,3.3649,3.3867
4000,3.2187,3.2341
5000,3.1473,3.1499
6000,3.0680,3.0900
7000,3.0314,3.0422
8000,2.9881,3.0078
9000,2.9741,2.9683
10000,2.9240,2.9453
11000,2.9044,2.9408
12000,2.8895,2.9084
13000,2.8578,2.8935
14000,2.8499,2.8766
15000,2.8499,2.8557
16000,2.8251,2.8512
17000,2.8044,2.8387
18000,2.8149,2.8339
19000,2.7927,2.8220
20000,2.7645,2.8042
21000,2.7823,2.7983
22000,2.7658,2.7852
23000,2.7464,2.7758
24000,2.7407,2.7769
25000,2.7306,2.7596
26000,2.7217,2.7530
27000,2.7381,2.7438
28000,2.7079,2.7458
29000,2.6917,2.7342
30000,2.7078,2.7296
31000,2.6885,2.7221
32000,2.6737,2.7087
33000,2.6719,2.7261
34000,2.6661,2.7080
35000,2.6581,2.7058
36000,2.6534,2.7045
37000,2.6512,2.6882
38000,2.6410,2.6966
39000,2.6407,2.6848
40000,2.6323,2.6702
41000,2.6208,2.6671
42000,2.6169,2.6699
43000,2.6118,2.6695
44000,2.6203,2.6471
45000,2.5846,2.6453
46000,2.6108,2.6576
47000,2.5985,2.6462
48000,2.5999,2.6412
49000,2.5897,2.6479
50000,2.5946,2.6384
51000,2.5858,2.6241
52000,2.5638,2.6320
53000,2.5955,2.6308
54000,2.5682,2.6380
55000,2.5744,2.6256
56000,2.5813,2.6190
57000,2.5587,2.6268
58000,2.5597,2.6185
59000,2.5755,2.6297
60000,2.5670,2.6165
