step,train_loss,val_loss
0,11.1465,11.1478
1000,3.8252,3.8169
2000,3.4319,3.4425
3000,3.2277,3.2477
4000,3.1045,3.1213
5000,3.0542,3.0579
6000,2.9932,3.0157
7000,2.9682,2.9809
8000,2.9338,2.9534
9000,2.9265,2.9205
10000,2.8884,2.9082
11000,2.8756,2.9098
12000,2.8679,2.8844
13000,2.8408,2.8744
14000,2.8403,2.8634
15000,2.8452,2.8470
16000,2.8239,2.8455
17000,2.8056,2.8349
18000,2.8207,2.8354
19000,2.8024,2.8270
20000,2.7755,2.8105
21000,2.7956,2.8055
22000,2.7801,2.7933
23000,2.7622,2.7838
24000,2.7566,2.7852
25000,2.7472,2.7689
26000,2.7394,2.7617
27000,2.7538,2.7520
28000,2.7252,2.7531
29000,2.7075,2.7402
30000,2.7219,2.7359
31000,2.7001,2.7249
32000,2.6849,2.7117
33000,2.6821,2.7260
34000,2.6733,2.7068
35000,2.6623,2.6996
36000,2.6543,2.6957
37000,2.6495,2.6769
38000,2.6358,2.6816
39000,2.6314,2.6668
40000,2.6197,2.6479
41000,2.6050,2.6427
42000,2.5952,2.6412
43000,2.5862,2.6355
44000,2.5904,2.6082
45000,2.5495,2.6033
46000,2.5716,2.6119
47000,2.5534,2.5957
48000,2.5512,2.5875
49000,2.5338,2.5898
50000,2.5356,2.5756
51000,2.5234,2.5589
52000,2.4984,2.5637
53000,2.5257,2.5594
54000,2.4974,2.5638
55000,2.5009,2.5498
56000,2.5066,2.5413
57000,2.4829,2.5497
58000,2.4840,2.5404
59000,2.4996,2.5516
60000,2.4912,2.5383
