step,train_loss,val_loss
0,11.1414,11.1433
1000,3.8591,3.8484
2000,3.4432,3.4543
3000,3.2225,3.2426
4000,3.1186,3.1327
5000,3.0739,3.0787
6000,3.0236,3.0412
7000,2.9979,3.0090
8000,2.9740,2.9906
9000,2.9711,2.9621
10000,2.9325,2.9494
11000,2.9287,2.9604
12000,2.9216,2.9341
13000,2.8981,2.9268
14000,2.8993,2.9167
15000,2.9043,2.9003
16000,2.8849,2.9013
17000,2.8669,2.8923
18000,2.8826,2.8896
19000,2.8650,2.8838
20000,2.8355,2.8666
21000,2.8556,2.8619
22000,2.8402,2.8486
23000,2.8232,2.8393
24000,2.8190,2.8417
25000,2.8085,2.8248
26000,2.8012,2.8191
27000,2.8141,2.8066
28000,2.7843,2.8100
29000,2.7660,2.7950
30000,2.7824,2.7898
31000,2.7614,2.7816
32000,2.7467,2.7643
33000,2.7394,2.7776
34000,2.7330,2.7568
35000,2.7200,2.7493
36000,2.7105,2.7468
37000,2.7045,2.7248
38000,2.6893,2.7281
39000,2.6846,2.7118
40000,2.6708,2.6911
41000,2.6519,2.6830
42000,2.6435,2.6816
43000,2.6320,2.6743
44000,2.6342,2.6448
45000,2.5937,2.6399
46000,2.6106,2.6436
47000,2.5912,2.6263
48000,2.5859,2.6147
49000,2.5696,2.6159
50000,2.5654,2.5992
51000,2.5523,2.5807
52000,2.5246,2.5828
53000,2.5490,2.5778
54000,2.5197,2.5800
55000,2.5197,2.5635
56000,2.5227,2.5535
57000,2.4998,2.5617
58000,2.5009,2.5510
59000,2.5145,2.5616
60000,2.5042,2.5487
