step,train_loss,val_loss
0,10.9891,10.9906
1000,3.9244,3.9157
2000,3.5994,3.6120
3000,3.4440,3.4645
4000,3.3623,3.3752
5000,3.3386,3.3390
6000,3.3005,3.3184
7000,3.2886,3.2962
8000,3.2738,3.2818
9000,3.2766,3.2626
10000,3.2411,3.2538
11000,3.2443,3.2648
12000,3.2396,3.2444
13000,3.2122,3.2362
14000,3.2194,3.2316
15000,3.2284,3.2211
16000,3.2131,3.2176
17000,3.1971,3.2153
18000,3.2142,3.2141
19000,3.1996,3.2112
20000,3.1730,3.1953
21000,3.1926,3.1894
22000,3.1833,3.1805
23000,3.1632,3.1696
24000,3.1625,3.1742
25000,3.1541,3.1599
26000,3.1507,3.1584
27000,3.1655,3.1477
28000,3.1398,3.1546
29000,3.1231,3.1433
30000,3.1445,3.1423
31000,3.1252,3.1365
32000,3.1217,3.1249
33000,3.1114,3.1357
34000,3.1070,3.1216
35000,3.0998,3.1189
36000,3.0936,3.1171
37000,3.0929,3.0985
38000,3.0824,3.1075
39000,3.0866,3.0930
40000,3.0727,3.0790
41000,3.0593,3.0737
42000,3.0557,3.0746
43000,3.0535,3.0738
44000,3.0588,3.0443
45000,3.0195,3.0442
46000,3.0383,3.0502
47000,3.0231,3.0331
48000,3.0215,3.0235
49000,3.0107,3.0263
50000,3.0058,3.0102
51000,2.9909,2.9892
52000,2.9618,2.9896
53000,2.9865,2.9823
54000,2.9472,2.9792
55000,2.9461,2.9588
56000,2.9416,2.9421
57000,2.9110,2.9370
58000,2.8985,2.9151
59000,2.9031,2.9146
60000,2.8817,2.8948
