step,train_loss,val_loss
0,10.9891,10.9906
1000,4.5037,4.5074
2000,3.8011,3.8143
3000,3.5374,3.5590
4000,3.4131,3.4259
5000,3.3554,3.3572
6000,3.2933,3.3111
7000,3.2655,3.2707
8000,3.2358,3.2460
9000,3.2264,3.2137
10000,3.1837,3.1983
11000,3.1758,3.1989
12000,3.1668,3.1749
13000,3.1393,3.1663
14000,3.1421,3.1567
15000,3.1467,3.1402
16000,3.1311,3.1379
17000,3.1099,3.1304
18000,3.1304,3.1309
19000,3.1118,3.1259
20000,3.0873,3.1118
21000,3.1081,3.1094
22000,3.1013,3.0999
23000,3.0829,3.0923
24000,3.0806,3.0979
25000,3.0754,3.0850
26000,3.0721,3.0838
27000,3.0913,3.0760
28000,3.0651,3.0838
29000,3.0523,3.0747
30000,3.0757,3.0736
31000,3.0602,3.0729
32000,3.0509,3.0577
33000,3.0503,3.0781
34000,3.0492,3.0652
35000,3.0443,3.0652
36000,3.0446,3.0688
37000,3.0448,3.0525
38000,3.0384,3.0660
39000,3.0451,3.0561
40000,3.0340,3.0428
41000,3.0276,3.0434
42000,3.0264,3.0491
43000,3.0284,3.0512
44000,3.0394,3.0286
45000,3.0079,3.0342
46000,3.0321,3.0465
47000,3.0231,3.0350
48000,3.0267,3.0315
49000,3.0243,3.0424
50000,3.0264,3.0323
51000,3.0219,3.0203
52000,3.0005,3.0286
53000,3.0337,3.0297
54000,3.0028,3.0370
55000,3.0141,3.0279
56000,3.0212,3.0224
57000,3.0016,3.0273
58000,3.0010,3.0183
59000,3.0181,3.0288
60000,3.0051,3.0191
