step,L0,L12,L23,max
0,4.3,3.6,3.5,4.3
1000,20.2,103.0,60.5,103.0
2000,52.8,243.0,59.5,243.0
3000,51.8,394.0,129.0,394.0
4000,39.5,374.0,83.5,374.0
5000,36.8,396.0,83.0,396.0
6000,51.0,378.0,70.0,378.0
7000,44.2,366.0,64.5,366.0
8000,45.8,406.0,81.0,406.0
9000,41.5,480.0,49.0,480.0
10000,40.5,486.0,62.8,486.0
11000,42.0,422.0,54.2,422.0
12000,37.8,358.0,50.8,358.0
13000,40.5,438.0,55.5,438.0
14000,48.0,438.0,48.0,438.0
15000,49.5,348.0,59.2,348.0
16000,46.2,394.0,52.2,394.0
17000,48.5,438.0,48.0,438.0
18000,51.0,324.0,65.5,324.0
19000,49.5,332.0,43.8,332.0
20000,55.0,394.0,52.0,394.0
21000,51.0,396.0,48.5,396.0
22000,49.2,342.0,45.2,342.0
23000,55.0,396.0,42.8,396.0
24000,56.2,410.0,46.0,410.0
25000,55.0,434.0,39.5,434.0
26000,51.5,350.0,49.5,350.0
27000,56.8,408.0,45.0,408.0
28000,62.5,388.0,41.2,388.0
29000,47.5,388.0,43.5,388.0
30000,41.2,402.0,51.8,402.0
31000,38.0,440.0,45.0,440.0
32000,44.8,354.0,46.0,354.0
33000,49.2,336.0,42.8,336.0
34000,44.8,332.0,45.5,332.0
35000,41.0,358.0,39.0,358.0
36000,40.8,352.0,41.0,352.0
37000,38.5,298.0,37.2,298.0
38000,44.0,356.0,35.8,356.0
39000,45.0,402.0,46.0,402.0
40000,44.0,334.0,39.8,334.0
41000,43.0,370.0,35.0,370.0
42000,44.0,352.0,33.8,352.0
43000,43.0,404.0,37.8,404.0
44000,46.2,318.0,37.2,318.0
45000,42.5,408.0,38.8,408.0
46000,45.8,290.0,36.5,290.0
47000,41.2,408.0,33.8,408.0
48000,40.5,290.0,29.4,290.0
49000,44.8,300.0,35.8,300.0
50000,42.8,308.0,34.0,308.0
51000,45.5,324.0,37.0,324.0
52000,45.0,302.0,34.2,302.0
53000,45.5,320.0,31.2,320.0
54000,48.5,298.0,31.4,298.0
55000,49.5,316.0,31.0,316.0
56000,53.0,272.0,32.8,272.0
57000,57.5,270.0,32.2,270.0
58000,58.0,286.0,30.4,286.0
59000,59.2,292.0,30.6,292.0
60000,60.0,376.0,29.4,376.0
